Sample	Type	Direction	Q	f (base 0)
Bu_S00106D	DNA	R1	32	7
Bu_S00106D	DNA	R2	30	8
Dd_S00106F	DNA	R1	31	4
Dd_S00106F	DNA	R2	31	5
Dd_S001067	RNA	R1	32	9
Dd_S001067	RNA	R2	30	9
Di_S00107E 	DNA	R1	33	9
Di_S00107E	DNA	R2	32	10
HI.0735.004.Index_10 	RNA	R1 	32	9
HI.0735.004.Index_10 	RNA	R2 	32	8
HI.0735.004.Index_2 	RNA	R1 	32	60
HI.0735.004.Index_2 	RNA	R2 	32	60
HI.0735.004.Index_3 	RNA	R1 	32	70
HI.0735.004.Index_3 	RNA	R2 	31	70
HI.0735.004.Index_4 	RNA	R1 	31	60
HI.0735.004.Index_4 	RNA	R2 	32	55
HI.0735.004.Index_5 	RNA	R1 	32	60
HI.0735.004.Index_5 	RNA	R2 	32	55
HI.0735.004.Index_6 	RNA	R1 	32	9
HI.0735.004.Index_6 	RNA	R2	32	9
HI.0735.004.Index_7 	RNA	R1 	32	9
HI.0735.004.Index_7 	RNA	R2 	32	9
HI.0735.004.Index_8 	RNA	R1 	32	9
HI.0735.004.Index_8 	RNA	R2	32	9
HI.0735.004.Index_9 	RNA	R1 	32	9
HI.0735.004.Index_9 	RNA	R2 	32	9
Pt_S00106B 	DNA	R1 	32	4
Pt_S00106B 	DNA	R2	31	4
Pv_S000D06 	RNA	R1 	32	9
Pv_S000D06 	RNA	R2 	32	9
Pv_S000D08 	RNA	R1 	32	9
Pv_S000D08 	RNA	R2 	32	9
Pv_S000D09 	RNA	R1 	32	9
Pv_S000D0A 	RNA	R1 	32	9
Pv_S000D0A 	RNA	R2 	32	9
Pv_S000D0B 	RNA	R1 	32	9
Pv_S000D0B 	RNA	R2 	32	9
Pv_S000D0C 	RNA	R1 	32	9
Pv_S000D0C 	RNA	R2 	32	9
Pv_S000D0D 	RNA	R1	32	9
Pv_S000D0D 	RNA	R2	32	9
Pv_S000D0E 	RNA	R1	32	9
Pv_S000D0E 	RNA	R2	32	9
Pv_S000D0F 	RNA	R1	32	9
Pv_S000D0F 	RNA	R2	32	9
Pv_S000D10 	RNA	R1	32	9
Pv_S000D10 	RNA	R2	32	9
Pv_S000D11 	RNA	R1	32	9
Pv_S000D11 	RNA	R2	32	9
Pv_S000D12 	RNA	R1	32	9
Pv_S000D12 	RNA	R2	32	9
Pv_S000D13 	RNA	R1	32	9
Pv_S000D13 	RNA	R2	32	9
Pv_S000D14 	RNA	R1	32	9
Pv_S000D14 	RNA	R2	32	9
Pv_S000D15 	RNA	R1	32	9
Pv_S000D15 	RNA	R2	32	9
Pv_S000D16 	RNA	R1	32	9
Pv_S000D16 	RNA	R2	32	9
Pv_S000D18 	RNA	R1	32	9
Pv_S000D18 	RNA	R2	32	9
Pv_S000D1A 	RNA	R1	32	9
Pv_S000D1A 	RNA	R2	32	9
Pv_S001068 	DNA	R1 	31	4
Pv_S001068 	DNA	R2 	31	6
Pv_S001069 	DNA	R1 	32	6
Pv_S001069 	DNA	R2 	32	6
Pv_S00106A 	DNA	R1 	30	6
Pv_S00106A 	DNA	R2 	30	7
Pv_S00106E 	DNA	R1 	31	4
Pv_S00106E 	DNA	R2 	30	3
S000D09	?	R2	32	9
S000D07	?	R1	32	9
S000D07	?	R2	32	7
S000D1B	?	R1	32	9
S000D1B	?	R2	32	9
S00141A	?	R1	34	6
S00141A	?	R2	33	6
S000D02	?	R1	32	8
S000D02	?	R2	32	8
S00107B	?	R1	32	8
S00107B	?	R2	32	7
S00107A	?	R1	32	4
S00107A	?	R2	32	2
S000D19	?	R1	32	8
S000D19	?	R2	32	8
S001079	?	R1	32	7
S001079	?	R2	32	8
S001419	?	R1	34	7
S001419	?	R2	34	7
S000D00	?	R1	32	4
S000D00	?	R2	32	3
S001078	?	R1	32	9
S001078	?	R2	32	9
S001418	?	R1	33	4
S001418	?	R2	33	5
S000D17	?	R1	31	65
S000D17	?	R2	31	65
S001417	?	R1	33	7
S001417	?	R2	33	7
S00141B	?	R1	34	3
S00141B	?	R2	33	7
S00107C	?	R1	32	9
S00107C	?	R2	32	9
S000D05	?	R1	32	3
S000D05	?	R2	32	3
S000D01	?	R1	32	7
S000D01	?	R2	32	7
S001416	?	R1	33	5
S001416	?	R2	33	7
S000CFE	?	R1	32	4
S000CFE	?	R2	32	4
S00106C	?	R1	32	4
S00106C	?	R2	31	5
S00107D	?	R1	32	5
S00107D	?	R2	32	5
S00107F	?	R1	32	9
S00107F	?	R2	32	9
S000D04	?	R1	32	3
S000D04	?	R2	32	3
S000CFF	?	R1	32	3
S000CFF	?	R2	32	3
S000D03	?	R1	32	3
S000D03	?	R2	32	3
