Plate Name	Organism	Biomaterial Type	Sample Name	Rawdata dir
G_ROSTO	Globodera rostochiensis	DNA	A066581	/isilon/biodiversity/data/raw/illumina/rott/A06658/pipeline_copy
G_ROSTO	Globodera rostochiensis	DNA	A066585	/isilon/biodiversity/data/raw/illumina/rott/A06658/pipeline_copy
G_ROSTO	Globodera rostochiensis	RNA	HI.0735.004.Index_2	/isilon/biodiversity/data/raw/illumina/GQC/HI.0735.004/pipeline_copy
G_ROSTO	Globodera rostochiensis	RNA	HI.0735.004.Index_3	/isilon/biodiversity/data/raw/illumina/GQC/HI.0735.004/pipeline_copy
G_ROSTO	Globodera rostochiensis	RNA	HI.0735.004.Index_4	/isilon/biodiversity/data/raw/illumina/GQC/HI.0735.004/pipeline_copy
G_ROSTO	Globodera rostochiensis	RNA	HI.0735.004.Index_5	/isilon/biodiversity/data/raw/illumina/GQC/HI.0735.004/pipeline_copy
G_ROSTO	Globodera rostochiensis	RNA	HI.0735.004.Index_6	/isilon/biodiversity/data/raw/illumina/GQC/HI.0735.004/pipeline_copy
G_ROSTO	Globodera rostochiensis	RNA	HI.0735.004.Index_7	/isilon/biodiversity/data/raw/illumina/GQC/HI.0735.004/pipeline_copy
G_ROSTO	Globodera rostochiensis	RNA	HI.0735.004.Index_8	/isilon/biodiversity/data/raw/illumina/GQC/HI.0735.004/pipeline_copy
G_ROSTO	Globodera rostochiensis	RNA	HI.0735.004.Index_9	/isilon/biodiversity/data/raw/illumina/GQC/HI.0735.004/pipeline_copy
G_ROSTO	Globodera rostochiensis	RNA	HI.0735.004.Index_10	/isilon/biodiversity/data/raw/illumina/GQC/HI.0735.004/pipeline_copy
G_ROSTO	Globodera rostochiensis	RNA	HI.0735.004.Index_11	/isilon/biodiversity/data/raw/illumina/GQC/HI.0735.004/pipeline_copy
G_ROSTO	Globodera rostochiensis	RNA	HI.0735.004.Index_12	/isilon/biodiversity/data/raw/illumina/GQC/HI.0735.004/pipeline_copy
