Illumina Sample				Related genome			Relation Evidence		
Organism	Biomaterial type	Kingdom	Resident Expert	Organism	Strain	Estimated Genome Length (bp)	Source	Citation	URL
Arcobacter cibarius 	Genomic								
Arcobacter lanthierii 	Genomic	Bacteria	Izhar Khan	Campylobacter jejuni	NCTC11168	1700000	Sanger		http://www.magma.ca/~scimat/Arcobacter.htm, http://www.sanger.ac.uk/resources/downloads/bacteria/campylobacter-jejuni.html
Basidioascus undulatus	Genomic	Fungi	Hai Nguyen	Ustilago maydis	521	20000000			http://www.pnas.org/content/suppl/2007/10/29/0706756104.DC1/06756Table3.pdf
Ditylenchus destructor	Genomic	Animalia (Nematode)	Qing Yu	Globodera rostochiensis	R0-19	100000000			http://www.nematodes.org/nematodegenomes/index.php/Globodera_rostochiensis_R0-19
Ditylenchus dipsaci	Genomic	Animalia (Nematode)	Qing Yu	Globodera rostochiensis	R0-19	100000000			http://www.nematodes.org/nematodegenomes/index.php/Globodera_rostochiensis_R0-19
Globodera pallida	Genomic	Animalia (Nematode)							
Globodera rostochiensis	Genomic	Animalia (Nematode)	Marc-Olivier Duceppe	Globodera rostochiensis	R0-19	100000000			http://www.nematodes.org/nematodegenomes/index.php/Globodera_rostochiensis_R0-19
Pantoea ananatis 	Genomic								
Pantoea stewartii	Genomic	Bacteria		Pantoea stewartii	DC283	5000000			
Pectobacterium carotovorum 	Genomic								
Pectobacterium wasabiae	Genomic	Bacteria		Pectobacterium wasabiae	WPP163	5000000	JGI		http://genome.ornl.gov/microbial/pcar_was/, http://img.jgi.doe.gov/cgi-bin/w/main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=646311947
Penicillium nordicum	Genomic								
Penicillium thymicola 	Genomic	Fungi	Keith Seifert	Penicillium chrysogenum	Wisconsin 54-1255	32190000	Genbank		
Penicillium verrucosum 	Genomic	Fungi	Keith Seifert	Penicillium chrysogenum	Wisconsin 54-1255	32190000	Genbank		
Puccinia graminis	Genomic								
Puccinia triticina	Genomic								
Ralstonia solanacearum	Genomic	Bacteria		Ralstonia solanacearum	GMI1000	5800000	NCBI		http://www.ncbi.nlm.nih.gov/bioproject/57593
Streptomyces scabies	Genomic	Bacteria		Streptomyces scabies		10100000			
Synchytrium endobioticum	Genomic								
Tilletia caries	Genomic	Fungi	Prasad Kesanakurti	Usiilago maydis		20000000	Broad Institute		
Tilletia controversa	Genomic	Fungi	Prasad Kesanakurti	Usiilago maydis		20000000	Broad Institute		
Tilletia indica	Genomic	Fungi	Prasad Kesanakurti	Usiilago maydis		20000000	Broad Institute		
Tilletia walkeri	Genomic	Fungi	Prasad Kesanakurti	Usiilago maydis		20000000	Broad Institute		

