Sample	Trim_or_Raw	Direction	Filename	Read_Length	Num_Reads
S001383	trimdata	R1	../../processing_test/P_carotovorum/DNA/Pcb_S001383/data//S001383_CGTACG_L001_trim_5-0-0_R1.fq	96	20097667
S001383	rawdata	R1	/isilon/biodiversity/data/raw/illumina/PBI/Project_C231CACXX/S001383_CGTACG_L001_R1.fq	101	20097667
S001383	trimdata	R2	../../processing_test/P_carotovorum/DNA/Pcb_S001383/data//S001383_CGTACG_L001_trim_5-0-0_R2.fq	96	20097667
S001383	rawdata	R2	/isilon/biodiversity/data/raw/illumina/PBI/Project_C231CACXX/S001383_CGTACG_L001_R2.fq	101	20097667
HI.0735.004.Index_7	trimdata	R1	../../processing_test/G_rostochiensis/RNA/Gr_HI.0735.004.Index_7/data//HI.0735.004.Index_7.kyste_Gros_24h_trim_10-0-0_R1.fq	90	21872699
HI.0735.004.Index_7	rawdata	R1	/isilon/biodiversity/data/raw/illumina/GQC/HI.0735.004/pipeline_copy/HI.0735.004.Index_7.kyste_Gros_24h_R1.fq	100	21872699
HI.0735.004.Index_7	trimdata	R2	../../processing_test/G_rostochiensis/RNA/Gr_HI.0735.004.Index_7/data//HI.0735.004.Index_7.kyste_Gros_24h_trim_10-0-0_R2.fq	90	21872699
HI.0735.004.Index_7	rawdata	R2	/isilon/biodiversity/data/raw/illumina/GQC/HI.0735.004/pipeline_copy/HI.0735.004.Index_7.kyste_Gros_24h_R2.fq	100	21872699
HI.0735.004.Index_4	trimdata	R1	../../processing_test/G_rostochiensis/RNA/Gr_HI.0735.004.Index_4/data//HI.0735.004.Index_4.kyste_Gros_15m_trim_61-0-0_R1.fq	39	16601653
HI.0735.004.Index_4	rawdata	R1	/isilon/biodiversity/data/raw/illumina/GQC/HI.0735.004/pipeline_copy/HI.0735.004.Index_4.kyste_Gros_15m_R1.fq	100	16601653
HI.0735.004.Index_4	trimdata	R2	../../processing_test/G_rostochiensis/RNA/Gr_HI.0735.004.Index_4/data//HI.0735.004.Index_4.kyste_Gros_15m_trim_56-0-0_R2.fq	44	16601653
HI.0735.004.Index_4	rawdata	R2	/isilon/biodiversity/data/raw/illumina/GQC/HI.0735.004/pipeline_copy/HI.0735.004.Index_4.kyste_Gros_15m_R2.fq	100	16601653
S00138C	trimdata	R1	../../processing_test/T_indica/DNA/Ti_S00138C/data//S00138C_ATCACG_L001_trim_3-0-0_R1.fq	98	37001111
S00138C	rawdata	R1	/isilon/biodiversity/data/raw/illumina/PBI/Project_C231CACXX/S00138C_ATCACG_L001_R1.fq	101	37001111
S00138C	trimdata	R2	../../processing_test/T_indica/DNA/Ti_S00138C/data//S00138C_ATCACG_L001_trim_3-0-0_R2.fq	98	37001111
S00138C	rawdata	R2	/isilon/biodiversity/data/raw/illumina/PBI/Project_C231CACXX/S00138C_ATCACG_L001_R2.fq	101	37001111
S000D07	trimdata	R1	../../processing_test/P_wasabiae/RNA/Pw_S000D07/data//S000D07_TGACCA_L001_trim_10-0-0_R1.fq	91	4438432
S000D07	rawdata	R1	/isilon/biodiversity/data/raw/illumina/PBI/Project_D0ULDACXX/S000D07_TGACCA_L001_R1.fq	101	4438432
S000D07	trimdata	R2	../../processing_test/P_wasabiae/RNA/Pw_S000D07/data//S000D07_TGACCA_L001_trim_8-0-0_R2.fq	93	4438432
S000D07	rawdata	R2	/isilon/biodiversity/data/raw/illumina/PBI/Project_D0ULDACXX/S000D07_TGACCA_L001_R2.fq	101	4438432
S000D1B	trimdata	R1	../../processing_test/P_stewartii/RNA/Ps_S000D1B/data//S000D1B_ATCACG_L001_trim_10-0-0_R1.fq	91	7169945
S000D1B	rawdata	R1	/isilon/biodiversity/data/raw/illumina/PBI/Project_D0ULDACXX/S000D1B_ATCACG_L001_R1.fq	101	7169945
S000D1B	trimdata	R2	../../processing_test/P_stewartii/RNA/Ps_S000D1B/data//S000D1B_ATCACG_L001_trim_10-0-0_R2.fq	91	7169945
S000D1B	rawdata	R2	/isilon/biodiversity/data/raw/illumina/PBI/Project_D0ULDACXX/S000D1B_ATCACG_L001_R2.fq	101	7169945
S001384	trimdata	R1	../../processing_test/G_rostochiensis/DNA/Gr_S001384/data//S001384_GTGGCC_L002_trim_6-0-0_R1.fq	95	70943338
S001384	rawdata	R1	/isilon/biodiversity/data/raw/illumina/PBI/Project_C231CACXX/S001384_GTGGCC_L002_R1.fq	101	70943338
S001384	trimdata	R2	../../processing_test/G_rostochiensis/DNA/Gr_S001384/data//S001384_GTGGCC_L002_trim_6-0-0_R2.fq	95	70943338
S001384	rawdata	R2	/isilon/biodiversity/data/raw/illumina/PBI/Project_C231CACXX/S001384_GTGGCC_L002_R2.fq	101	70943338
S00141A	trimdata	R1	../../processing_test/D_dipsaci/DNA/Ddi_S00141A/data//S00141A_NoIndex_L006_trim_7-0-0_R1.fq	44	115890596
S00141A	rawdata	R1	/isilon/biodiversity/data/raw/illumina/PBI/Project_D20DTACXX/S00141A_NoIndex_L006_R1.fq	51	115890596
S00141A	trimdata	R2	../../processing_test/D_dipsaci/DNA/Ddi_S00141A/data//S00141A_NoIndex_L006_trim_7-0-0_R2.fq	44	115890596
S00141A	rawdata	R2	/isilon/biodiversity/data/raw/illumina/PBI/Project_D20DTACXX/S00141A_NoIndex_L006_R2.fq	51	115890596
S000D02	trimdata	R1	../../processing_test/S_scabies/DNA/Ss_S000D02/data//S000D02_GAGTGG_L001_trim_9-0-0_R1.fq	92	9204525
S000D02	rawdata	R1	/isilon/biodiversity/data/raw/illumina/PBI/Project_D0ULDACXX/S000D02_GAGTGG_L001_R1.fq	101	9204525
S000D02	trimdata	R2	../../processing_test/S_scabies/DNA/Ss_S000D02/data//S000D02_GAGTGG_L001_trim_9-0-0_R2.fq	92	9204525
S000D02	rawdata	R2	/isilon/biodiversity/data/raw/illumina/PBI/Project_D0ULDACXX/S000D02_GAGTGG_L001_R2.fq	101	9204525
A066585	trimdata	R1	../../processing_test/G_rostochiensis/DNA/Gr_A066585/data//A066585_D0D8DABXX_5_trim_8-0-0_R1.fq	92	60892374
A066585	rawdata	R1	/isilon/biodiversity/data/raw/illumina/rott/A06658/pipeline_copy/A066585_D0D8DABXX_5_R1.fq	100	60883815
A066585	trimdata	R2	../../processing_test/G_rostochiensis/DNA/Gr_A066585/data//A066585_D0D8DABXX_5_trim_8-0-0_R2.fq	92	60919892
A066585	rawdata	R2	/isilon/biodiversity/data/raw/illumina/rott/A06658/pipeline_copy/A066585_D0D8DABXX_5_R2.fq	100	60932132
S00107B	trimdata	R1	../../processing_test/S_scabies/RNA/Ss_S00107B/data//S00107B_ACTTGA_L007_trim_9-0-0_R1.fq	92	9708383
S00107B	rawdata	R1	/isilon/biodiversity/data/raw/illumina/PBI/Project_D0AH9ACXX/S00107B_ACTTGA_L007_R1.fq	101	9708383
S00107B	trimdata	R2	../../processing_test/S_scabies/RNA/Ss_S00107B/data//S00107B_ACTTGA_L007_trim_8-0-0_R2.fq	93	9708383
S00107B	rawdata	R2	/isilon/biodiversity/data/raw/illumina/PBI/Project_D0AH9ACXX/S00107B_ACTTGA_L007_R2.fq	101	9708383
S00107A	trimdata	R1	../../processing_test/P_stewartii/DNA/Ps_S00107A/data//S00107A_CGATGT_L007_trim_5-0-0_R1.fq	96	3783976
S00107A	rawdata	R1	/isilon/biodiversity/data/raw/illumina/PBI/Project_D0AH9ACXX/S00107A_CGATGT_L007_R1.fq	101	3783976
S00107A	trimdata	R2	../../processing_test/P_stewartii/DNA/Ps_S00107A/data//S00107A_CGATGT_L007_trim_3-0-0_R2.fq	98	3783976
S00107A	rawdata	R2	/isilon/biodiversity/data/raw/illumina/PBI/Project_D0AH9ACXX/S00107A_CGATGT_L007_R2.fq	101	3783976
S000D11	trimdata	R1	../../processing_test/P_verrucosum/RNA/Pv_S000D11/data//S000D11_TAGCTT_L002_trim_10-0-0_R1.fq	91	22151528
S000D11	rawdata	R1	/isilon/biodiversity/data/raw/illumina/PBI/Project_D0ULDACXX/S000D11_TAGCTT_L002_R1.fq	101	22151528
S000D11	trimdata	R2	../../processing_test/P_verrucosum/RNA/Pv_S000D11/data//S000D11_TAGCTT_L002_trim_10-0-0_R2.fq	91	22151528
S000D11	rawdata	R2	/isilon/biodiversity/data/raw/illumina/PBI/Project_D0ULDACXX/S000D11_TAGCTT_L002_R2.fq	101	22151528
S000D19	trimdata	R1	../../processing_test/S_scabies/RNA/Ss_S000D19/data//S000D19_CGATGT_L001_trim_9-0-0_R1.fq	92	11132960
S000D19	rawdata	R1	/isilon/biodiversity/data/raw/illumina/PBI/Project_D0ULDACXX/S000D19_CGATGT_L001_R1.fq	101	11132960
S000D19	trimdata	R2	../../processing_test/S_scabies/RNA/Ss_S000D19/data//S000D19_CGATGT_L001_trim_9-0-0_R2.fq	92	11132960
S000D19	rawdata	R2	/isilon/biodiversity/data/raw/illumina/PBI/Project_D0ULDACXX/S000D19_CGATGT_L001_R2.fq	101	11132960
S001067	trimdata	R1	../../processing_test/D_destructor/RNA/Dd_S001067/data//S001067_AGTTCC_L002_trim_10-0-0_R1.fq	91	32218318
S001067	rawdata	R1	/isilon/biodiversity/data/raw/illumina/PBI/Project_D0AH9ACXX/S001067_AGTTCC_L002_R1.fq	101	32218318
S001067	trimdata	R2	../../processing_test/D_destructor/RNA/Dd_S001067/data//S001067_AGTTCC_L002_trim_10-0-0_R2.fq	91	32218318
S001067	rawdata	R2	/isilon/biodiversity/data/raw/illumina/PBI/Project_D0AH9ACXX/S001067_AGTTCC_L002_R2.fq	101	32218318
