Ac	Arcobacter cibarius
Al	Arcobacter lanthierii
As	Arcobacter septicus
Bu	Basidioascus undulatus
Dd	Ditylenchus destructor
Ddi	Ditylenchus dipsaci
Gp	Globodera pallida
Gr	Globodera rostochiensis
Pa	Pantoea ananatis
Pcb	Pectobacterium carotovorum
Pg	Puccinia graminis
Pi	Phytophthora infestans
Pn	Penicillium nordicum
Ps	Pantoea stewartii
Pt	Puccinia triticina
Pth	Penicillium thymicola
Pv	Penicillium verrucosum
Pw	Pectobacterium wasabiae
Rs	Ralstonia solanacearum
Se	Synchytrium endobioticum
Ss	Streptomyces scabies
Tc	Tilletia controversa
Tca	Tilletia caries
Ti	Tilletia indica
Tw	Tilletia walkeri
