Sample	Trim/raw	kmer	Qsub Job ID	Command
S00138A	trim	43	81116	/opt/bio/velvet/velvetg_63 ../../processing_test/G_rostochiensis/DNA/Gr_S00138A/assemblies/velvet/trim/assem_kmer-43_exp-33_covcutoff-auto -ins_length 300 -exp_cov 33   -scaffolding yes  -amos_file no -cov_cutoff auto
S00138A	trim	55	81117	/opt/bio/velvet/velvetg_63 ../../processing_test/G_rostochiensis/DNA/Gr_S00138A/assemblies/velvet/trim/assem_kmer-55_exp-25_covcutoff-auto -ins_length 300 -exp_cov 25   -scaffolding yes  -amos_file no -cov_cutoff auto
S00138A	raw	53	81118	/opt/bio/velvet/velvetg_63 ../../processing_test/G_rostochiensis/DNA/Gr_S00138A/assemblies/velvet/raw/assem_kmer-53_exp-32_covcutoff-auto -ins_length 300 -exp_cov 32   -scaffolding yes  -amos_file no -cov_cutoff auto
S00138A	raw	55	81119	/opt/bio/velvet/velvetg_63 ../../processing_test/G_rostochiensis/DNA/Gr_S00138A/assemblies/velvet/raw/assem_kmer-55_exp-31_covcutoff-auto -ins_length 300 -exp_cov 31   -scaffolding yes  -amos_file no -cov_cutoff auto
S00138A	raw	57	81120	/opt/bio/velvet/velvetg_63 ../../processing_test/G_rostochiensis/DNA/Gr_S00138A/assemblies/velvet/raw/assem_kmer-57_exp-30_covcutoff-auto -ins_length 300 -exp_cov 30   -scaffolding yes  -amos_file no -cov_cutoff auto
S00138A	raw	59	81121	/opt/bio/velvet/velvetg_63 ../../processing_test/G_rostochiensis/DNA/Gr_S00138A/assemblies/velvet/raw/assem_kmer-59_exp-28_covcutoff-auto -ins_length 300 -exp_cov 28   -scaffolding yes  -amos_file no -cov_cutoff auto
S00138A	raw	61	81122	/opt/bio/velvet/velvetg_63 ../../processing_test/G_rostochiensis/DNA/Gr_S00138A/assemblies/velvet/raw/assem_kmer-61_exp-27_covcutoff-auto -ins_length 300 -exp_cov 27   -scaffolding yes  -amos_file no -cov_cutoff auto
S00138A	raw	63	81123	/opt/bio/velvet/velvetg_63 ../../processing_test/G_rostochiensis/DNA/Gr_S00138A/assemblies/velvet/raw/assem_kmer-63_exp-26_covcutoff-auto -ins_length 300 -exp_cov 26   -scaffolding yes  -amos_file no -cov_cutoff auto
S00138A	raw	65	81124	/opt/bio/velvet/velvetg_127 ../../processing_test/G_rostochiensis/DNA/Gr_S00138A/assemblies/velvet/raw/assem_kmer-65_exp-24_covcutoff-auto -ins_length 300 -exp_cov 24   -scaffolding yes  -amos_file no -cov_cutoff auto
S00138A	raw	67	81125	/opt/bio/velvet/velvetg_127 ../../processing_test/G_rostochiensis/DNA/Gr_S00138A/assemblies/velvet/raw/assem_kmer-67_exp-23_covcutoff-auto -ins_length 300 -exp_cov 23   -scaffolding yes  -amos_file no -cov_cutoff auto
S00138A	raw	69	81126	/opt/bio/velvet/velvetg_127 ../../processing_test/G_rostochiensis/DNA/Gr_S00138A/assemblies/velvet/raw/assem_kmer-69_exp-22_covcutoff-auto -ins_length 300 -exp_cov 22   -scaffolding yes  -amos_file no -cov_cutoff auto
S00138A	raw	71	81127	/opt/bio/velvet/velvetg_127 ../../processing_test/G_rostochiensis/DNA/Gr_S00138A/assemblies/velvet/raw/assem_kmer-71_exp-20_covcutoff-auto -ins_length 300 -exp_cov 20   -scaffolding yes  -amos_file no -cov_cutoff auto
S00138A	raw	73	81128	/opt/bio/velvet/velvetg_127 ../../processing_test/G_rostochiensis/DNA/Gr_S00138A/assemblies/velvet/raw/assem_kmer-73_exp-19_covcutoff-auto -ins_length 300 -exp_cov 19   -scaffolding yes  -amos_file no -cov_cutoff auto
S00138A	raw	75	81129	/opt/bio/velvet/velvetg_127 ../../processing_test/G_rostochiensis/DNA/Gr_S00138A/assemblies/velvet/raw/assem_kmer-75_exp-18_covcutoff-auto -ins_length 300 -exp_cov 18   -scaffolding yes  -amos_file no -cov_cutoff auto
S00138A	raw	77	81130	/opt/bio/velvet/velvetg_127 ../../processing_test/G_rostochiensis/DNA/Gr_S00138A/assemblies/velvet/raw/assem_kmer-77_exp-17_covcutoff-auto -ins_length 300 -exp_cov 17   -scaffolding yes  -amos_file no -cov_cutoff auto
A066585	raw	69	81131	/opt/bio/velvet/velvetg_127 ../../processing_test/G_rostochiensis/DNA/Gr_A066585/assemblies/velvet/raw/assem_kmer-69_exp-39_covcutoff-auto -ins_length 300 -exp_cov 39   -scaffolding yes  -amos_file no -cov_cutoff auto
A066585	raw	71	81132	/opt/bio/velvet/velvetg_127 ../../processing_test/G_rostochiensis/DNA/Gr_A066585/assemblies/velvet/raw/assem_kmer-71_exp-37_covcutoff-auto -ins_length 300 -exp_cov 37   -scaffolding yes  -amos_file no -cov_cutoff auto
A066585	raw	85	81133	/opt/bio/velvet/velvetg_127 ../../processing_test/G_rostochiensis/DNA/Gr_A066585/assemblies/velvet/raw/assem_kmer-85_exp-19_covcutoff-auto -ins_length 300 -exp_cov 19   -scaffolding yes  -amos_file no -cov_cutoff auto
A066585	raw	89	81134	/opt/bio/velvet/velvetg_127 ../../processing_test/G_rostochiensis/DNA/Gr_A066585/assemblies/velvet/raw/assem_kmer-89_exp-15_covcutoff-auto -ins_length 300 -exp_cov 15   -scaffolding yes  -amos_file no -cov_cutoff auto
S001384	trim	83	81135	/opt/bio/velvet/velvetg_127 ../../processing_test/G_rostochiensis/DNA/Gr_S001384/assemblies/velvet/trim/assem_kmer-83_exp-18_covcutoff-auto -ins_length 300 -exp_cov 18   -scaffolding yes  -amos_file no -cov_cutoff auto
S001384	trim	91	81136	/opt/bio/velvet/velvetg_127 ../../processing_test/G_rostochiensis/DNA/Gr_S001384/assemblies/velvet/trim/assem_kmer-91_exp-7_covcutoff-auto -ins_length 300 -exp_cov 7   -scaffolding yes  -amos_file no -cov_cutoff auto
S001384	raw	73	81137	/opt/bio/velvet/velvetg_127 ../../processing_test/G_rostochiensis/DNA/Gr_S001384/assemblies/velvet/raw/assem_kmer-73_exp-41_covcutoff-auto -ins_length 300 -exp_cov 41   -scaffolding yes  -amos_file no -cov_cutoff auto
S001384	raw	75	81138	/opt/bio/velvet/velvetg_127 ../../processing_test/G_rostochiensis/DNA/Gr_S001384/assemblies/velvet/raw/assem_kmer-75_exp-38_covcutoff-auto -ins_length 300 -exp_cov 38   -scaffolding yes  -amos_file no -cov_cutoff auto
S001384	raw	77	81139	/opt/bio/velvet/velvetg_127 ../../processing_test/G_rostochiensis/DNA/Gr_S001384/assemblies/velvet/raw/assem_kmer-77_exp-35_covcutoff-auto -ins_length 300 -exp_cov 35   -scaffolding yes  -amos_file no -cov_cutoff auto
S001384	raw	79	81140	/opt/bio/velvet/velvetg_127 ../../processing_test/G_rostochiensis/DNA/Gr_S001384/assemblies/velvet/raw/assem_kmer-79_exp-33_covcutoff-auto -ins_length 300 -exp_cov 33   -scaffolding yes  -amos_file no -cov_cutoff auto
S001384	raw	81	81141	/opt/bio/velvet/velvetg_127 ../../processing_test/G_rostochiensis/DNA/Gr_S001384/assemblies/velvet/raw/assem_kmer-81_exp-30_covcutoff-auto -ins_length 300 -exp_cov 30   -scaffolding yes  -amos_file no -cov_cutoff auto
S001384	raw	83	81142	/opt/bio/velvet/velvetg_127 ../../processing_test/G_rostochiensis/DNA/Gr_S001384/assemblies/velvet/raw/assem_kmer-83_exp-27_covcutoff-auto -ins_length 300 -exp_cov 27   -scaffolding yes  -amos_file no -cov_cutoff auto
S001384	raw	85	81143	/opt/bio/velvet/velvetg_127 ../../processing_test/G_rostochiensis/DNA/Gr_S001384/assemblies/velvet/raw/assem_kmer-85_exp-24_covcutoff-auto -ins_length 300 -exp_cov 24   -scaffolding yes  -amos_file no -cov_cutoff auto
S001384	raw	87	81144	/opt/bio/velvet/velvetg_127 ../../processing_test/G_rostochiensis/DNA/Gr_S001384/assemblies/velvet/raw/assem_kmer-87_exp-21_covcutoff-auto -ins_length 300 -exp_cov 21   -scaffolding yes  -amos_file no -cov_cutoff auto
S001384	raw	89	81145	/opt/bio/velvet/velvetg_127 ../../processing_test/G_rostochiensis/DNA/Gr_S001384/assemblies/velvet/raw/assem_kmer-89_exp-18_covcutoff-auto -ins_length 300 -exp_cov 18   -scaffolding yes  -amos_file no -cov_cutoff auto
S001384	raw	91	81146	/opt/bio/velvet/velvetg_127 ../../processing_test/G_rostochiensis/DNA/Gr_S001384/assemblies/velvet/raw/assem_kmer-91_exp-16_covcutoff-auto -ins_length 300 -exp_cov 16   -scaffolding yes  -amos_file no -cov_cutoff auto
S001384	raw	93	81147	/opt/bio/velvet/velvetg_127 ../../processing_test/G_rostochiensis/DNA/Gr_S001384/assemblies/velvet/raw/assem_kmer-93_exp-13_covcutoff-auto -ins_length 300 -exp_cov 13   -scaffolding yes  -amos_file no -cov_cutoff auto
S001384	raw	95	81148	/opt/bio/velvet/velvetg_127 ../../processing_test/G_rostochiensis/DNA/Gr_S001384/assemblies/velvet/raw/assem_kmer-95_exp-10_covcutoff-auto -ins_length 300 -exp_cov 10   -scaffolding yes  -amos_file no -cov_cutoff auto
S001384	raw	97	81149	/opt/bio/velvet/velvetg_127 ../../processing_test/G_rostochiensis/DNA/Gr_S001384/assemblies/velvet/raw/assem_kmer-97_exp-7_covcutoff-auto -ins_length 300 -exp_cov 7   -scaffolding yes  -amos_file no -cov_cutoff auto
S001388	trim	73	81150	/opt/bio/velvet/velvetg_127 ../../processing_test/G_rostochiensis/DNA/Gr_S001388/assemblies/velvet/trim/assem_kmer-73_exp-32_covcutoff-auto -ins_length 300 -exp_cov 32   -scaffolding yes  -amos_file no -cov_cutoff auto
S001388	raw	75	81151	/opt/bio/velvet/velvetg_127 ../../processing_test/G_rostochiensis/DNA/Gr_S001388/assemblies/velvet/raw/assem_kmer-75_exp-43_covcutoff-auto -ins_length 300 -exp_cov 43   -scaffolding yes  -amos_file no -cov_cutoff auto
S001388	raw	77	81152	/opt/bio/velvet/velvetg_127 ../../processing_test/G_rostochiensis/DNA/Gr_S001388/assemblies/velvet/raw/assem_kmer-77_exp-39_covcutoff-auto -ins_length 300 -exp_cov 39   -scaffolding yes  -amos_file no -cov_cutoff auto
S001388	raw	79	81153	/opt/bio/velvet/velvetg_127 ../../processing_test/G_rostochiensis/DNA/Gr_S001388/assemblies/velvet/raw/assem_kmer-79_exp-36_covcutoff-auto -ins_length 300 -exp_cov 36   -scaffolding yes  -amos_file no -cov_cutoff auto
S001388	raw	81	81154	/opt/bio/velvet/velvetg_127 ../../processing_test/G_rostochiensis/DNA/Gr_S001388/assemblies/velvet/raw/assem_kmer-81_exp-33_covcutoff-auto -ins_length 300 -exp_cov 33   -scaffolding yes  -amos_file no -cov_cutoff auto
S001388	raw	83	81155	/opt/bio/velvet/velvetg_127 ../../processing_test/G_rostochiensis/DNA/Gr_S001388/assemblies/velvet/raw/assem_kmer-83_exp-30_covcutoff-auto -ins_length 300 -exp_cov 30   -scaffolding yes  -amos_file no -cov_cutoff auto
S001388	raw	87	81156	/opt/bio/velvet/velvetg_127 ../../processing_test/G_rostochiensis/DNA/Gr_S001388/assemblies/velvet/raw/assem_kmer-87_exp-24_covcutoff-auto -ins_length 300 -exp_cov 24   -scaffolding yes  -amos_file no -cov_cutoff auto
S001388	raw	89	81157	/opt/bio/velvet/velvetg_127 ../../processing_test/G_rostochiensis/DNA/Gr_S001388/assemblies/velvet/raw/assem_kmer-89_exp-20_covcutoff-auto -ins_length 300 -exp_cov 20   -scaffolding yes  -amos_file no -cov_cutoff auto
S001388	raw	91	81158	/opt/bio/velvet/velvetg_127 ../../processing_test/G_rostochiensis/DNA/Gr_S001388/assemblies/velvet/raw/assem_kmer-91_exp-17_covcutoff-auto -ins_length 300 -exp_cov 17   -scaffolding yes  -amos_file no -cov_cutoff auto
S001388	raw	93	81159	/opt/bio/velvet/velvetg_127 ../../processing_test/G_rostochiensis/DNA/Gr_S001388/assemblies/velvet/raw/assem_kmer-93_exp-14_covcutoff-auto -ins_length 300 -exp_cov 14   -scaffolding yes  -amos_file no -cov_cutoff auto
S001388	raw	97	81160	/opt/bio/velvet/velvetg_127 ../../processing_test/G_rostochiensis/DNA/Gr_S001388/assemblies/velvet/raw/assem_kmer-97_exp-8_covcutoff-auto -ins_length 300 -exp_cov 8   -scaffolding yes  -amos_file no -cov_cutoff auto
S001388	raw	99	81161	/opt/bio/velvet/velvetg_127 ../../processing_test/G_rostochiensis/DNA/Gr_S001388/assemblies/velvet/raw/assem_kmer-99_exp-5_covcutoff-auto -ins_length 300 -exp_cov 5   -scaffolding yes  -amos_file no -cov_cutoff auto
A066581	trim	53	81162	/opt/bio/velvet/velvetg_63 ../../processing_test/G_rostochiensis/DNA/Gr_A066581/assemblies/velvet/trim/assem_kmer-53_exp-26_covcutoff-auto -ins_length 300 -exp_cov 26   -scaffolding yes  -amos_file no -cov_cutoff auto
A066581	trim	57	81163	/opt/bio/velvet/velvetg_63 ../../processing_test/G_rostochiensis/DNA/Gr_A066581/assemblies/velvet/trim/assem_kmer-57_exp-23_covcutoff-auto -ins_length 300 -exp_cov 23   -scaffolding yes  -amos_file no -cov_cutoff auto
A066581	trim	59	81164	/opt/bio/velvet/velvetg_63 ../../processing_test/G_rostochiensis/DNA/Gr_A066581/assemblies/velvet/trim/assem_kmer-59_exp-22_covcutoff-auto -ins_length 300 -exp_cov 22   -scaffolding yes  -amos_file no -cov_cutoff auto
S00138D	trim	57	81165	/opt/bio/velvet/velvetg_63 ../../processing_test/G_rostochiensis/DNA/Gr_S00138D/assemblies/velvet/trim/assem_kmer-57_exp-29_covcutoff-auto -ins_length 300 -exp_cov 29   -scaffolding yes  -amos_file no -cov_cutoff auto
S00138D	raw	59	81166	/opt/bio/velvet/velvetg_63 ../../processing_test/G_rostochiensis/DNA/Gr_S00138D/assemblies/velvet/raw/assem_kmer-59_exp-35_covcutoff-auto -ins_length 300 -exp_cov 35   -scaffolding yes  -amos_file no -cov_cutoff auto
S00138D	raw	61	81167	/opt/bio/velvet/velvetg_63 ../../processing_test/G_rostochiensis/DNA/Gr_S00138D/assemblies/velvet/raw/assem_kmer-61_exp-33_covcutoff-auto -ins_length 300 -exp_cov 33   -scaffolding yes  -amos_file no -cov_cutoff auto
S00138D	raw	63	81168	/opt/bio/velvet/velvetg_63 ../../processing_test/G_rostochiensis/DNA/Gr_S00138D/assemblies/velvet/raw/assem_kmer-63_exp-32_covcutoff-auto -ins_length 300 -exp_cov 32   -scaffolding yes  -amos_file no -cov_cutoff auto
S00138D	raw	65	81169	/opt/bio/velvet/velvetg_127 ../../processing_test/G_rostochiensis/DNA/Gr_S00138D/assemblies/velvet/raw/assem_kmer-65_exp-30_covcutoff-auto -ins_length 300 -exp_cov 30   -scaffolding yes  -amos_file no -cov_cutoff auto
S00138D	raw	67	81170	/opt/bio/velvet/velvetg_127 ../../processing_test/G_rostochiensis/DNA/Gr_S00138D/assemblies/velvet/raw/assem_kmer-67_exp-28_covcutoff-auto -ins_length 300 -exp_cov 28   -scaffolding yes  -amos_file no -cov_cutoff auto
S00138D	raw	69	81171	/opt/bio/velvet/velvetg_127 ../../processing_test/G_rostochiensis/DNA/Gr_S00138D/assemblies/velvet/raw/assem_kmer-69_exp-27_covcutoff-auto -ins_length 300 -exp_cov 27   -scaffolding yes  -amos_file no -cov_cutoff auto
S00138D	raw	71	81172	/opt/bio/velvet/velvetg_127 ../../processing_test/G_rostochiensis/DNA/Gr_S00138D/assemblies/velvet/raw/assem_kmer-71_exp-25_covcutoff-auto -ins_length 300 -exp_cov 25   -scaffolding yes  -amos_file no -cov_cutoff auto
S00138D	raw	73	81173	/opt/bio/velvet/velvetg_127 ../../processing_test/G_rostochiensis/DNA/Gr_S00138D/assemblies/velvet/raw/assem_kmer-73_exp-24_covcutoff-auto -ins_length 300 -exp_cov 24   -scaffolding yes  -amos_file no -cov_cutoff auto
S00138D	raw	75	81174	/opt/bio/velvet/velvetg_127 ../../processing_test/G_rostochiensis/DNA/Gr_S00138D/assemblies/velvet/raw/assem_kmer-75_exp-22_covcutoff-auto -ins_length 300 -exp_cov 22   -scaffolding yes  -amos_file no -cov_cutoff auto
S00138D	raw	77	81175	/opt/bio/velvet/velvetg_127 ../../processing_test/G_rostochiensis/DNA/Gr_S00138D/assemblies/velvet/raw/assem_kmer-77_exp-20_covcutoff-auto -ins_length 300 -exp_cov 20   -scaffolding yes  -amos_file no -cov_cutoff auto
S00138D	raw	79	81176	/opt/bio/velvet/velvetg_127 ../../processing_test/G_rostochiensis/DNA/Gr_S00138D/assemblies/velvet/raw/assem_kmer-79_exp-19_covcutoff-auto -ins_length 300 -exp_cov 19   -scaffolding yes  -amos_file no -cov_cutoff auto
S00138D	raw	81	81177	/opt/bio/velvet/velvetg_127 ../../processing_test/G_rostochiensis/DNA/Gr_S00138D/assemblies/velvet/raw/assem_kmer-81_exp-17_covcutoff-auto -ins_length 300 -exp_cov 17   -scaffolding yes  -amos_file no -cov_cutoff auto
S00138D	raw	83	81178	/opt/bio/velvet/velvetg_127 ../../processing_test/G_rostochiensis/DNA/Gr_S00138D/assemblies/velvet/raw/assem_kmer-83_exp-15_covcutoff-auto -ins_length 300 -exp_cov 15   -scaffolding yes  -amos_file no -cov_cutoff auto
S001389	trim	55	81179	/opt/bio/velvet/velvetg_63 ../../processing_test/G_rostochiensis/DNA/Gr_S001389/assemblies/velvet/trim/assem_kmer-55_exp-37_covcutoff-auto -ins_length 300 -exp_cov 37   -scaffolding yes  -amos_file no -cov_cutoff auto
S001389	trim	57	81180	/opt/bio/velvet/velvetg_63 ../../processing_test/G_rostochiensis/DNA/Gr_S001389/assemblies/velvet/trim/assem_kmer-57_exp-35_covcutoff-auto -ins_length 300 -exp_cov 35   -scaffolding yes  -amos_file no -cov_cutoff auto
S001389	trim	73	81181	/opt/bio/velvet/velvetg_127 ../../processing_test/G_rostochiensis/DNA/Gr_S001389/assemblies/velvet/trim/assem_kmer-73_exp-21_covcutoff-auto -ins_length 300 -exp_cov 21   -scaffolding yes  -amos_file no -cov_cutoff auto
S001389	trim	77	81182	/opt/bio/velvet/velvetg_127 ../../processing_test/G_rostochiensis/DNA/Gr_S001389/assemblies/velvet/trim/assem_kmer-77_exp-17_covcutoff-auto -ins_length 300 -exp_cov 17   -scaffolding yes  -amos_file no -cov_cutoff auto
S001389	raw	61	81183	/opt/bio/velvet/velvetg_63 ../../processing_test/G_rostochiensis/DNA/Gr_S001389/assemblies/velvet/raw/assem_kmer-61_exp-37_covcutoff-auto -ins_length 300 -exp_cov 37   -scaffolding yes  -amos_file no -cov_cutoff auto
S001389	raw	63	81184	/opt/bio/velvet/velvetg_63 ../../processing_test/G_rostochiensis/DNA/Gr_S001389/assemblies/velvet/raw/assem_kmer-63_exp-35_covcutoff-auto -ins_length 300 -exp_cov 35   -scaffolding yes  -amos_file no -cov_cutoff auto
S001389	raw	65	81185	/opt/bio/velvet/velvetg_127 ../../processing_test/G_rostochiensis/DNA/Gr_S001389/assemblies/velvet/raw/assem_kmer-65_exp-33_covcutoff-auto -ins_length 300 -exp_cov 33   -scaffolding yes  -amos_file no -cov_cutoff auto
S001389	raw	67	81186	/opt/bio/velvet/velvetg_127 ../../processing_test/G_rostochiensis/DNA/Gr_S001389/assemblies/velvet/raw/assem_kmer-67_exp-31_covcutoff-auto -ins_length 300 -exp_cov 31   -scaffolding yes  -amos_file no -cov_cutoff auto
S001389	raw	69	81187	/opt/bio/velvet/velvetg_127 ../../processing_test/G_rostochiensis/DNA/Gr_S001389/assemblies/velvet/raw/assem_kmer-69_exp-29_covcutoff-auto -ins_length 300 -exp_cov 29   -scaffolding yes  -amos_file no -cov_cutoff auto
S001389	raw	71	81188	/opt/bio/velvet/velvetg_127 ../../processing_test/G_rostochiensis/DNA/Gr_S001389/assemblies/velvet/raw/assem_kmer-71_exp-28_covcutoff-auto -ins_length 300 -exp_cov 28   -scaffolding yes  -amos_file no -cov_cutoff auto
S001389	raw	73	81189	/opt/bio/velvet/velvetg_127 ../../processing_test/G_rostochiensis/DNA/Gr_S001389/assemblies/velvet/raw/assem_kmer-73_exp-26_covcutoff-auto -ins_length 300 -exp_cov 26   -scaffolding yes  -amos_file no -cov_cutoff auto
S001389	raw	75	81190	/opt/bio/velvet/velvetg_127 ../../processing_test/G_rostochiensis/DNA/Gr_S001389/assemblies/velvet/raw/assem_kmer-75_exp-24_covcutoff-auto -ins_length 300 -exp_cov 24   -scaffolding yes  -amos_file no -cov_cutoff auto
S001389	raw	77	81191	/opt/bio/velvet/velvetg_127 ../../processing_test/G_rostochiensis/DNA/Gr_S001389/assemblies/velvet/raw/assem_kmer-77_exp-22_covcutoff-auto -ins_length 300 -exp_cov 22   -scaffolding yes  -amos_file no -cov_cutoff auto
S001389	raw	79	81192	/opt/bio/velvet/velvetg_127 ../../processing_test/G_rostochiensis/DNA/Gr_S001389/assemblies/velvet/raw/assem_kmer-79_exp-21_covcutoff-auto -ins_length 300 -exp_cov 21   -scaffolding yes  -amos_file no -cov_cutoff auto
S001389	raw	81	81193	/opt/bio/velvet/velvetg_127 ../../processing_test/G_rostochiensis/DNA/Gr_S001389/assemblies/velvet/raw/assem_kmer-81_exp-19_covcutoff-auto -ins_length 300 -exp_cov 19   -scaffolding yes  -amos_file no -cov_cutoff auto
S001389	raw	83	81194	/opt/bio/velvet/velvetg_127 ../../processing_test/G_rostochiensis/DNA/Gr_S001389/assemblies/velvet/raw/assem_kmer-83_exp-17_covcutoff-auto -ins_length 300 -exp_cov 17   -scaffolding yes  -amos_file no -cov_cutoff auto
S001389	raw	85	81195	/opt/bio/velvet/velvetg_127 ../../processing_test/G_rostochiensis/DNA/Gr_S001389/assemblies/velvet/raw/assem_kmer-85_exp-15_covcutoff-auto -ins_length 300 -exp_cov 15   -scaffolding yes  -amos_file no -cov_cutoff auto
S001385	trim	45	81196	/opt/bio/velvet/velvetg_63 ../../processing_test/G_rostochiensis/DNA/Gr_S001385/assemblies/velvet/trim/assem_kmer-45_exp-33_covcutoff-auto -ins_length 300 -exp_cov 33   -scaffolding yes  -amos_file no -cov_cutoff auto
S001385	trim	47	81197	/opt/bio/velvet/velvetg_63 ../../processing_test/G_rostochiensis/DNA/Gr_S001385/assemblies/velvet/trim/assem_kmer-47_exp-32_covcutoff-auto -ins_length 300 -exp_cov 32   -scaffolding yes  -amos_file no -cov_cutoff auto
S001385	raw	53	81198	/opt/bio/velvet/velvetg_63 ../../processing_test/G_rostochiensis/DNA/Gr_S001385/assemblies/velvet/raw/assem_kmer-53_exp-33_covcutoff-auto -ins_length 300 -exp_cov 33   -scaffolding yes  -amos_file no -cov_cutoff auto
S001385	raw	55	81199	/opt/bio/velvet/velvetg_63 ../../processing_test/G_rostochiensis/DNA/Gr_S001385/assemblies/velvet/raw/assem_kmer-55_exp-31_covcutoff-auto -ins_length 300 -exp_cov 31   -scaffolding yes  -amos_file no -cov_cutoff auto
S001385	raw	57	81200	/opt/bio/velvet/velvetg_63 ../../processing_test/G_rostochiensis/DNA/Gr_S001385/assemblies/velvet/raw/assem_kmer-57_exp-30_covcutoff-auto -ins_length 300 -exp_cov 30   -scaffolding yes  -amos_file no -cov_cutoff auto
S001385	raw	59	81201	/opt/bio/velvet/velvetg_63 ../../processing_test/G_rostochiensis/DNA/Gr_S001385/assemblies/velvet/raw/assem_kmer-59_exp-29_covcutoff-auto -ins_length 300 -exp_cov 29   -scaffolding yes  -amos_file no -cov_cutoff auto
S001385	raw	61	81202	/opt/bio/velvet/velvetg_63 ../../processing_test/G_rostochiensis/DNA/Gr_S001385/assemblies/velvet/raw/assem_kmer-61_exp-27_covcutoff-auto -ins_length 300 -exp_cov 27   -scaffolding yes  -amos_file no -cov_cutoff auto
S001385	raw	63	81203	/opt/bio/velvet/velvetg_63 ../../processing_test/G_rostochiensis/DNA/Gr_S001385/assemblies/velvet/raw/assem_kmer-63_exp-26_covcutoff-auto -ins_length 300 -exp_cov 26   -scaffolding yes  -amos_file no -cov_cutoff auto
S001385	raw	65	81204	/opt/bio/velvet/velvetg_127 ../../processing_test/G_rostochiensis/DNA/Gr_S001385/assemblies/velvet/raw/assem_kmer-65_exp-25_covcutoff-auto -ins_length 300 -exp_cov 25   -scaffolding yes  -amos_file no -cov_cutoff auto
S001385	raw	67	81205	/opt/bio/velvet/velvetg_127 ../../processing_test/G_rostochiensis/DNA/Gr_S001385/assemblies/velvet/raw/assem_kmer-67_exp-23_covcutoff-auto -ins_length 300 -exp_cov 23   -scaffolding yes  -amos_file no -cov_cutoff auto
S001385	raw	69	81206	/opt/bio/velvet/velvetg_127 ../../processing_test/G_rostochiensis/DNA/Gr_S001385/assemblies/velvet/raw/assem_kmer-69_exp-22_covcutoff-auto -ins_length 300 -exp_cov 22   -scaffolding yes  -amos_file no -cov_cutoff auto
S001385	raw	71	81207	/opt/bio/velvet/velvetg_127 ../../processing_test/G_rostochiensis/DNA/Gr_S001385/assemblies/velvet/raw/assem_kmer-71_exp-21_covcutoff-auto -ins_length 300 -exp_cov 21   -scaffolding yes  -amos_file no -cov_cutoff auto
S001385	raw	73	81208	/opt/bio/velvet/velvetg_127 ../../processing_test/G_rostochiensis/DNA/Gr_S001385/assemblies/velvet/raw/assem_kmer-73_exp-19_covcutoff-auto -ins_length 300 -exp_cov 19   -scaffolding yes  -amos_file no -cov_cutoff auto
S001385	raw	75	81209	/opt/bio/velvet/velvetg_127 ../../processing_test/G_rostochiensis/DNA/Gr_S001385/assemblies/velvet/raw/assem_kmer-75_exp-18_covcutoff-auto -ins_length 300 -exp_cov 18   -scaffolding yes  -amos_file no -cov_cutoff auto
S001385	raw	77	81210	/opt/bio/velvet/velvetg_127 ../../processing_test/G_rostochiensis/DNA/Gr_S001385/assemblies/velvet/raw/assem_kmer-77_exp-17_covcutoff-auto -ins_length 300 -exp_cov 17   -scaffolding yes  -amos_file no -cov_cutoff auto
