Organism	Genotype	Biomaterial Type	Sample Name	Trim/raw	Num_reads_(M)	Avg_readlen_(bp)	Est_genome_size_(Mbp)	Advised_kmer
Globodera rostochiensis		Genomic	A066581	raw	65.083903	100	100	81
Globodera rostochiensis		Genomic	A066581	trim	65.089769	92	100	73
Globodera rostochiensis		Genomic	A066585	raw	121.815947	100	100	91
Globodera rostochiensis		Genomic	A066585	trim	121.812266	92	100	83
Tilletia walkeri	DAOM 236422	Genomic	 S001713 	raw				
Tilletia walkeri	DAOM 236422	Genomic	 S001713 	trim				
Pectobacterium wasabiae	Ecw1002	Genomic	S000CFE	raw	8.68264	101	5	95
Pectobacterium wasabiae	Ecw1002	Genomic	S000CFE	trim	8.68264	96	5	89
Ralstonia solanacearum	NCPPB 909 race 3 biovar 2	Genomic	S000CFF	raw	27.309024	101	5.8	99
Ralstonia solanacearum	NCPPB 909 race 3 biovar 2	Genomic	S000CFF	trim	27.309024	97	5.8	95
Pantoea stewartii	strain DOAB 021	Genomic	S000D00	raw	11.7687	101	5	97
Pantoea stewartii	strain DOAB 021	Genomic	S000D00	trim	11.7687	96.5	5	93
Tilletia walkeri	DAOM 236422	Genomic	S000D01	raw	26.684998	101	20	93
Tilletia walkeri	DAOM 236422	Genomic	S000D01	trim	26.684998	93	20	85
Streptomyces scabies	CG-1	Genomic	S000D02	raw	18.40905	101	10.1	95
Streptomyces scabies	CG-1	Genomic	S000D02	trim	18.40905	92	10.1	87
Tilletia caries	DAOM 238032	Genomic	S000D03	raw	28.622682	101	20	93
Tilletia caries	DAOM 238032	Genomic	S000D03	trim	28.622682	97	20	89
Tilletia indica	DAOM 236416	Genomic	S000D04	raw	19.41872	101	20	89
Tilletia indica	DAOM 236416	Genomic	S000D04	trim	19.41872	97	20	85
Tilletia controversa	DAOM 236426	Genomic	S000D05	raw	19.405294	101	20	89
Tilletia controversa	DAOM 236426	Genomic	S000D05	trim	19.405294	97	20	85
Penicillium verrucosum 	strain DAOM 211566	Genomic	S001068 	raw	29.8428	101	32.19	89
Penicillium verrucosum 	strain DAOM 211566	Genomic	S001068 	trim	29.8428	95	32.19	83
Penicillium verrucosum 	 strain KAS 4251	Genomic	S001069 	raw	32.170356	101	32.19	89
Penicillium verrucosum 	 strain KAS 4251	Genomic	S001069 	trim	32.170356	94	32.19	83
Penicillium verrucosum 	strain KAS 4382	Genomic	S00106A 	raw	5.02756	101	32.19	21
Penicillium verrucosum 	strain KAS 4382	Genomic	S00106A 	trim	5.02756	93.5	32.19	13
Penicillium thymicola 	strain DAOM 180753	Genomic	S00106B 	raw	28.22159	101	32.19	87
Penicillium thymicola 	strain DAOM 180753	Genomic	S00106B 	trim	28.22159	96	32.19	83
Pantoea stewartii	subsp. Nov. S301	Genomic	S00106C 	raw	11.384236	101	5	97
Pantoea stewartii	subsp. Nov. S301	Genomic	S00106C 	trim	11.384236	95.5	5	91
Basidioascus undulatus		Genomic	S00106D 	raw	12.16858	101	20	81
Basidioascus undulatus		Genomic	S00106D 	trim	12.16858	92.5	20	73
Penicillium verrucosum 	strain KAS 4260	Genomic	S00106E 	raw	63.505978	101	32.19	95
Penicillium verrucosum 	strain KAS 4260	Genomic	S00106E 	trim	63.505978	96.5	32.19	91
Ditylenchus destructor		Genomic	S00106F 	raw	105.663022	101	100	91
Ditylenchus destructor		Genomic	S00106F 	trim	105.663022	95.5	100	85
Streptomyces scabies 	CG-1	Genomic	S001079 	raw	36.216966	101	10.1	99
Streptomyces scabies 	CG-1	Genomic	S001079 	trim	36.216966	92.5	10.1	89
Pantoea stewartii 	strain DOAB 230	Genomic	S00107A 	raw	7.567952	101	5	93
Pantoea stewartii 	strain DOAB 230	Genomic	S00107A 	trim	7.567952	97	5	89
Arcobacter lanthierii 	strain AF 1430	Genomic	S00107D 	raw	13.318554	101	1.641481	101
Arcobacter lanthierii 	strain AF 1430	Genomic	S00107D 	trim	13.318554	95	1.641481	95
Puccinia graminis	race TMRTK (RSA2053)	Genomic	S001376 					
Puccinia graminis	race TMRTK (RSA2053)	Genomic	S001376 					
Puccinia graminis	CF12WGA1_100pg DNA_0%PEG	Genomic	S001377 					
Puccinia graminis	CF12WGA1_100pg DNA_0%PEG	Genomic	S001377 					
Puccinia graminis	 race QTHJT (RSA2051)	Genomic	S001378 					
Puccinia graminis	 race QTHJT (RSA2051)	Genomic	S001378 					
Puccinia graminis	CF12WGA2_10ng DNA_0%PEG	Genomic	S00137A 					
Puccinia graminis	CF12WGA2_10ng DNA_0%PEG	Genomic	S00137A 					
Puccinia graminis	 race RHTSK (RSA2052)	Genomic	S00137B 					
Puccinia graminis	 race RHTSK (RSA2052)	Genomic	S00137B 					
Globodera pallida	strain A2 Cyprus, pathotype Pa2/3	Genomic	S00137C 					
Globodera pallida	strain A2 Cyprus, pathotype Pa2/3	Genomic	S00137C 					
Puccinia triticina	 race MBDS (RSA2119)	Genomic	S00137D 					
Puccinia triticina	 race MBDS (RSA2119)	Genomic	S00137D 					
Globodera pallida	strain B1 INRA LeRheu France, pathotype Pa2/3	Genomic	S00137E 					
Globodera pallida	strain B1 INRA LeRheu France, pathotype Pa2/3	Genomic	S00137E 					
Puccinia triticina	race MFDS (RSA2117)	Genomic	S001380 					
Puccinia triticina	race MFDS (RSA2117)	Genomic	S001380 					
Synchytrium endobioticum	mixed strains from Newfoundland	Genomic	S001381 					
Synchytrium endobioticum	mixed strains from Newfoundland	Genomic	S001381 					
Puccinia graminis	CF12WGA3_100pg DNA_1%PEG	Genomic	S001382 					
Puccinia graminis	CF12WGA3_100pg DNA_1%PEG	Genomic	S001382 					
Pectobacterium carotovorum 	subsp. brasiliensis, isolate 1033	Genomic	S001383 	raw	40.195334			
Pectobacterium carotovorum 	subsp. brasiliensis, isolate 1033	Genomic	S001383 	trim	40.195334			
Globodera rostochiensis	SCRIR03, pathotype Ro3	Genomic	S001384 	raw	141.886676	101	100	93
Globodera rostochiensis	SCRIR03, pathotype Ro3	Genomic	S001384 	trim	141.886676	95	100	87
