Sample	Trim/raw	Num_reads_(M)	Avg_readlen_(bp)	Est_genome_size_(Mbp)	Advised_kmer
S001383	trim	86.586136			
S001383	raw	86.5858			
S00138C	trim	88.841176	98	20	97
S00138C	raw	88.84084	101	20	99
S001384	trim	86.62676	95	100	81
S001384	raw	86.626424	101	100	87
S00141A	trim	90.131768	44	100	31
S00141A	raw	90.131432	51	100	31
S000D02	trim	82.203528	92	10.1	91
S000D02	raw	82.203192	101	10.1	101
A066585	trim	80.616632	92	100	77
A066585	raw	80.616296	100	100	85
S00107A	trim	86.096784	97	5	97
S00107A	raw	86.25308	101	5	101
S001079	trim	85.646968	92.5	10.1	93
S001079	raw	85.646632	101	10.1	101
S001419	trim	90.221768	43	20	41
S001419	raw	90.026048	51	20	49
S000D00	trim	81.696152	96.5	5	97
S000D00	raw	81.695816	101	5	101
S00106E	trim	85.441912	96.5	32.19	93
S00106E	raw	85.441576	101	32.19	97
S001389	trim	87.66028	95	100	81
S001389	raw	87.659944	101	100	87
S001418	trim	89.939968	45.5	20	43
S001418	raw	89.922264	51	20	49
A066581	trim	68.674096	92	100	75
A066581	raw	68.673808	100	100	83
S001386	trim	87.471592			
S001386	raw	87.471256			
S001388	trim	87.763448	92	100	79
S001388	raw	87.763112	101	100	87
S001385	trim	87.217496	94	100	81
S001385	raw	87.21716	101	100	87
S00106F	trim	85.70628	95.5	100	81
S00106F	raw	85.705944	101	100	87
S00138F	trim	89.033144			
S00138F	raw	89.032808			
S001069	trim	84.161808	94	32.19	91
S001069	raw	84.140152	101	32.19	97
S001417	trim	89.350344	43	20	41
S001417	raw	89.350008	51	20	49
S00138E	trim	88.992776			
S00138E	raw	88.99244			
S00141B	trim	90.384984	45	100	33
S00141B	raw	90.384648	51	100	39
S001387	trim	87.51692	92	20	91
S001387	raw	87.516584	101	20	99
S000D05	trim	82.969264	97	20	95
S000D05	raw	82.948328	101	20	99
S001416	trim	89.058568	44	20	43
S001416	raw	89.058232	51	20	49
S000D01	trim	81.9466	93	20	91
S000D01	raw	81.946264	101	20	99
S00106A	trim	84.433	93.5	32.19	89
S00106A	raw	84.432664	101	32.19	97
S000CFE	trim	81.161352	96	5	97
S000CFE	raw	81.161016	101	5	101
S00106C	trim	84.6018	95.5	5	95
S00106C	raw	84.601464	101	5	101
S00107D	trim	86.263992	95	1.641481	95
S00107D	raw	86.263656	101	1.641481	101
S00106D	trim	85.20228	92.5	20	91
S00106D	raw	85.201944	101	20	99
S001068	trim	83.628472	95	32.19	91
S001068	raw	83.628136	101	32.19	97
S00138D	trim	88.721608	92	100	79
S00138D	raw	88.721272	101	100	87
S00106B	trim	84.701768	96	32.19	93
S00106B	raw	84.701432	101	32.19	97
S00138A	trim	88.113856	92	100	79
S00138A	raw	88.11352	101	100	87
S00138B	trim	88.574904	92	5.8	93
S00138B	raw	88.574568	101	5.8	101
S000D04	trim	82.34556	97	20	95
S000D04	raw	82.345224	101	20	99
S000CFF	trim	81.40312	97	5.8	97
S000CFF	raw	81.402784	101	5.8	101
S000D03	trim	82.4494	97	20	95
S000D03	raw	82.449064	101	20	99
