Organism	Genotype	Biomaterial Type	Sample Name	Trim/Raw	VK_Best_Kmer	VK_Command
Globodera rostochiensis		Genomic	A066581	raw	63	./velvetk.pl --size 100000000 --best /isilon/biodiversity/data/raw/illumina/rott/A06658/pipeline_copy/A066581_C01J0ABXX_1_R1.fq /isilon/biodiversity/data/raw/illumina/rott/A06658/pipeline_copy/A066581_C01J0ABXX_1_R2.fq
Globodera rostochiensis		Genomic	A066581	trim	55	./velvetk.pl --size 100000000 --best ../../processing_test/G_rostochiensis/DNA/Gr_A066581/data//A066581_C01J0ABXX_1_trim_8-0-0_R1.fq ../../processing_test/G_rostochiensis/DNA/Gr_A066581/data//A066581_C01J0ABXX_1_trim_8-0-0_R2.fq
Globodera rostochiensis		Genomic	A066585	raw	81	./velvetk.pl --size 100000000 --best /isilon/biodiversity/data/raw/illumina/rott/A06658/pipeline_copy/A066585_D0D8DABXX_5_R1.fq /isilon/biodiversity/data/raw/illumina/rott/A06658/pipeline_copy/A066585_D0D8DABXX_5_R2.fq
Globodera rostochiensis		Genomic	A066585	trim	73	./velvetk.pl --size 100000000 --best ../../processing_test/G_rostochiensis/DNA/Gr_A066585/data//A066585_D0D8DABXX_5_trim_8-0-0_R1.fq ../../processing_test/G_rostochiensis/DNA/Gr_A066585/data//A066585_D0D8DABXX_5_trim_8-0-0_R2.fq
Tilletia walkeri	DAOM 236422	Genomic	 S001713 			
Tilletia walkeri	DAOM 236422	Genomic	 S001713 			
Pectobacterium wasabiae	Ecw1002	Genomic	S000CFE	raw	87	./velvetk.pl --size 5000000 --best /isilon/biodiversity/data/raw/illumina/PBI/Project_D0ULDACXX/S000CFE_GTTTCG_L001_R1.fq /isilon/biodiversity/data/raw/illumina/PBI/Project_D0ULDACXX/S000CFE_GTTTCG_L001_R2.fq
Pectobacterium wasabiae	Ecw1002	Genomic	S000CFE	trim	83	./velvetk.pl --size 5000000 --best ../../processing_test/P_wasabiae/DNA/Pw_S000CFE/data//S000CFE_GTTTCG_L001_trim_5-0-0_R1.fq ../../processing_test/P_wasabiae/DNA/Pw_S000CFE/data//S000CFE_GTTTCG_L001_trim_5-0-0_R2.fq
Ralstonia solanacearum	NCPPB 909 race 3 biovar 2	Genomic	S000CFF	raw	97	./velvetk.pl --size 5800000 --best /isilon/biodiversity/data/raw/illumina/PBI/Project_D0ULDACXX/S000CFF_GTGGCC_L001_R1.fq /isilon/biodiversity/data/raw/illumina/PBI/Project_D0ULDACXX/S000CFF_GTGGCC_L001_R2.fq
Ralstonia solanacearum	NCPPB 909 race 3 biovar 2	Genomic	S000CFF	trim	93	./velvetk.pl --size 5800000 --best ../../processing_test/R_solanacearum/DNA/Rs_S000CFF/data//S000CFF_GTGGCC_L001_trim_4-0-0_R1.fq ../../processing_test/R_solanacearum/DNA/Rs_S000CFF/data//S000CFF_GTGGCC_L001_trim_4-0-0_R2.fq
