Sample	Trim_or_Raw	Direction	Filename	Read_Length	Num_Reads
S001705	trimdata	R1	../../processing_test2/D_dipsaci/DNA/data/Ddi_S001705/S001705_NoIndex_L005_trim_5-0-0_R1.fq.gz	46	107060361
S001705	rawdata	R1	/isilon/biodiversity/data/raw/illumina/PBI/Project_D24LKACXX/S001705_NoIndex_L005_R1.fq.gz	51	107060361
S001705	trimdata	R2	../../processing_test2/D_dipsaci/DNA/data/Ddi_S001705/S001705_NoIndex_L005_trim_5-0-0_R2.fq.gz	46	107060361
S001705	rawdata	R2	/isilon/biodiversity/data/raw/illumina/PBI/Project_D24LKACXX/S001705_NoIndex_L005_R2.fq.gz	51	107060361
S001809	trimdata	R1	../../processing_test2/S_endobioticum/DNA/data/Se_S001809/S001809_NoIndex_L003_trim_6-0-0_R1.fq.gz	45	191607012
S001809	rawdata	R1	/isilon/biodiversity/data/raw/illumina/PBI/Project_C2DRAACXX/S001809_NoIndex_L003_R1.fq.gz	51	191607012
S001809	trimdata	R2	../../processing_test2/S_endobioticum/DNA/data/Se_S001809/S001809_NoIndex_L003_trim_6-0-0_R2.fq.gz	45	191607012
S001809	rawdata	R2	/isilon/biodiversity/data/raw/illumina/PBI/Project_C2DRAACXX/S001809_NoIndex_L003_R2.fq.gz	51	191607012
S0016FE	trimdata	R1	../../processing_test2/G_rostochiensis/DNA/data/Gr_S0016FE/S0016FE_CGATGT_L008_trim_5-0-0_R1.fq.gz	96	57380021
S0016FE	rawdata	R1	/isilon/biodiversity/data/raw/illumina/PBI/Project_C231FACXX/S0016FE_CGATGT_L008_R1.fq	101	57380021
S0016FE	trimdata	R2	../../processing_test2/G_rostochiensis/DNA/data/Gr_S0016FE/S0016FE_CGATGT_L008_trim_5-0-0_R2.fq.gz	96	57380021
S0016FE	rawdata	R2	/isilon/biodiversity/data/raw/illumina/PBI/Project_C231FACXX/S0016FE_CGATGT_L008_R2.fq	101	57380021
S00138C	trimdata	R1	../../processing_test2/T_indica/DNA/data/Ti_S00138C/S00138C_ATCACG_L001_trim_3-0-0_R1.fq.gz	98	37001111
S00138C	rawdata	R1	/isilon/biodiversity/data/raw/illumina/PBI/Project_C231CACXX/S00138C_ATCACG_L001_R1.fq.gz	101	37001111
S00138C	trimdata	R2	../../processing_test2/T_indica/DNA/data/Ti_S00138C/S00138C_ATCACG_L001_trim_3-0-0_R2.fq.gz	98	37001111
S00138C	rawdata	R2	/isilon/biodiversity/data/raw/illumina/PBI/Project_C231CACXX/S00138C_ATCACG_L001_R2.fq.gz	101	37001111
S00180B	trimdata	R1	../../processing_test2/S_endobioticum/DNA/data/Se_S00180B/S00180B_NoIndex_L006_trim_6-0-0_R1.fq.gz	45	197396373
