Species	Strain	PE	PER	MP	MP3	MP8	Trim/Raw	VK_Best_Kmer
Synchytrium_endobioticum	2012_PEI_outbreak_unknown_pathotype						trim	87
Synchytrium_endobioticum	2012_PEI_outbreak_unknown_pathotype						raw	93
Synchytrium_endobioticum	2000_outbreak_pathotype_6						trim	81
Synchytrium_endobioticum	2000_outbreak_pathotype_6						raw	89
Synchytrium_endobioticum	mixed_strains_from_Newfoundland	S001381					trim	49
Synchytrium_endobioticum	mixed_strains_from_Newfoundland	S001381					raw	49
Globodera_pallida	A1_INRA_St-Malo_France						trim	77
Globodera_pallida	A1_INRA_St-Malo_France						raw	83
Globodera_pallida	A2_Cyprus_pathotype_Pa23						trim	65
Globodera_pallida	A2_Cyprus_pathotype_Pa23						raw	73
Globodera_pallida	B1_INRA_LeRheu_France_pathotype_Pa23						trim	79
Globodera_pallida	B1_INRA_LeRheu_France_pathotype_Pa23						raw	85
Penicillium_nordicum	DAOM_185683						trim	57
Penicillium_nordicum	DAOM_185683						raw	65
Globodera_rostochiensis	SCRIR04_pathotype_Ro4						trim	55
Globodera_rostochiensis	SCRIR04_pathotype_Ro4						raw	65
Globodera_rostochiensis	unknown_strain2						trim	73
Globodera_rostochiensis	unknown_strain2						raw	81
Globodera_rostochiensis	SCRIR03_pathotype_Ro3						trim	79
Globodera_rostochiensis	SCRIR03_pathotype_Ro3						raw	85
Globodera_rostochiensis	Isolate_Mar149_pathotype_Ro1						trim	67
Globodera_rostochiensis	Isolate_Mar149_pathotype_Ro1						raw	73
Globodera_rostochiensis	unknown_strain1						trim	55
Globodera_rostochiensis	unknown_strain1						raw	63
Globodera_rostochiensis	SCRIR05_pathotype_Ro5						trim	63
Globodera_rostochiensis	SCRIR05_pathotype_Ro5						raw	71
Globodera_rostochiensis	Ro19_pathotype_Ro1						trim	77
Globodera_rostochiensis	Ro19_pathotype_Ro1						raw	87
Globodera_rostochiensis	QC_pathotype_Ro1						trim	75
Globodera_rostochiensis	QC_pathotype_Ro1						raw	81
Globodera_rostochiensis	unknown						trim	
Globodera_rostochiensis	unknown						raw	
Globodera_rostochiensis	Nfld_isolate						trim	57
Globodera_rostochiensis	Nfld_isolate						raw	65
Arcobacter_cibarius	LMG_21996						trim	91
Arcobacter_cibarius	LMG_21996						raw	101
Pectobacterium_carotovorum	subsp_brasiliensis_isolate_1001						trim	87
Pectobacterium_carotovorum	subsp_brasiliensis_isolate_1001						raw	97
Pectobacterium_carotovorum	subsp_brasiliensis_isolate_1033						trim	93
Pectobacterium_carotovorum	subsp_brasiliensis_isolate_1033						raw	99
Pectobacterium_carotovorum	subsp_brasiliensis_isolate_1009						trim	85
Pectobacterium_carotovorum	subsp_brasiliensis_isolate_1009						raw	93
Pantoea_stewartii	subsp_Nov_S301						trim	85
Pantoea_stewartii	subsp_Nov_S301						raw	91
Pantoea_stewartii	DOAB_230						trim	81
Pantoea_stewartii	DOAB_230						raw	85
Pantoea_stewartii	DOAB_021						trim	87
Pantoea_stewartii	DOAB_021						raw	91
Tilletia_walkeri	DAOM_236422						trim	7
Tilletia_walkeri	DAOM_236422						raw	83
Pectobacterium_wasabiae	Ecw1002						trim	83
Pectobacterium_wasabiae	Ecw1002						raw	87
Penicillium_verrucosum	KAS_4260						trim	85
Penicillium_verrucosum	KAS_4260						raw	89
Penicillium_verrucosum	KAS_4251						trim	69
Penicillium_verrucosum	KAS_4251						raw	77
Penicillium_verrucosum	DAOM_214801						trim	73
Penicillium_verrucosum	DAOM_214801						raw	81
Penicillium_verrucosum	DAOM_211566						trim	69
Penicillium_verrucosum	DAOM_211566						raw	75
Penicillium_verrucosum	DAOM_213195						trim	53
Penicillium_verrucosum	DAOM_213195						raw	59
Penicillium_verrucosum	KAS_4370						trim	37
Penicillium_verrucosum	KAS_4370						raw	69
Penicillium_verrucosum	KAS_4382						trim	1
Penicillium_verrucosum	KAS_4382						raw	1
Arcobacter_lanthierii	AF_1581						trim	93
Arcobacter_lanthierii	AF_1581						raw	99
Arcobacter_lanthierii	AF_1430						trim	93
Arcobacter_lanthierii	AF_1430						raw	99
Puccinia_triticina	race_MFDS_RSA2117						trim	71
Puccinia_triticina	race_MFDS_RSA2117						raw	77
Puccinia_triticina	race_MBDS_RSA2119						trim	71
Puccinia_triticina	race_MBDS_RSA2119						raw	77
Tilletia_controversa	DAOM_236426						trim	73
Tilletia_controversa	DAOM_236426						raw	91
Puccinia_graminis	race_TMRTK_RSA2053						trim	71
Puccinia_graminis	race_TMRTK_RSA2053						raw	75
Puccinia_graminis	CF12WGA4_10ng_DNA_1PEG						trim	47
Puccinia_graminis	CF12WGA4_10ng_DNA_1PEG						raw	55
Puccinia_graminis	race_QTHJT_RSA2051						trim	45
Puccinia_graminis	race_QTHJT_RSA2051						raw	51
Puccinia_graminis	CF12WGA1_100pg_DNA_0PEG						trim	55
Puccinia_graminis	CF12WGA1_100pg_DNA_0PEG						raw	61
Puccinia_graminis	race_RHTSK_RSA2052						trim	55
Puccinia_graminis	race_RHTSK_RSA2052						raw	57
Puccinia_graminis	CF12WGA2_10ng_DNA_0PEG						trim	47
Puccinia_graminis	CF12WGA2_10ng_DNA_0PEG						raw	55
Puccinia_graminis	CF12WGA3_100pg_DNA_1PEG						trim	63
Puccinia_graminis	CF12WGA3_100pg_DNA_1PEG						raw	69
Pantoea_ananatis	LMG_2665						trim	87
Pantoea_ananatis	LMG_2665						raw	95
Ditylenchus_destructor	unknown						trim	
Ditylenchus_destructor	unknown						raw	
Ditylenchus_destructor	Jiangsu_01						trim	73
Ditylenchus_destructor	Jiangsu_01						raw	79
Ralstonia_solanacearum	race_3_biovar_2_906_IIB-1_with_low_cold-Cl						trim	59
Ralstonia_solanacearum	race_3_biovar_2_906_IIB-1_with_low_cold-Cl						raw	91
Ralstonia_solanacearum	NCPPB_909_race_3_biovar_2						trim	93
Ralstonia_solanacearum	NCPPB_909_race_3_biovar_2						raw	101
Streptomyces_scabies	CG-1						trim	79
Streptomyces_scabies	CG-1						raw	89
Tilletia_caries	DAOM_238032						trim	87
Tilletia_caries	DAOM_238032						raw	93
Arcobacter_septicus	AF_1028						trim	
Arcobacter_septicus	AF_1028						raw	
Arcobacter_septicus	AF_1078						trim	
Arcobacter_septicus	AF_1078						raw	
Ditylenchus_dipsaci	Ontario_01						trim	79
Ditylenchus_dipsaci	Ontario_01						raw	85
Basidioascus_undulatus	unknown_strain						trim	53
Basidioascus_undulatus	unknown_strain						raw	61
Basidioascus_undulatus	unknown						trim	
Basidioascus_undulatus	unknown						raw	
Basidioascus_undulatus	DAOM_241956						trim	53
Basidioascus_undulatus	DAOM_241956						raw	61
Penicillium_thymicola	DAOM_180753						trim	69
Penicillium_thymicola	DAOM_180753						raw	73
Tilletia_indica	DAOM_236416						trim	93
Tilletia_indica	DAOM_236416						raw	97
