|Species|Strain|Release Version|Type|Link|
|Arcobacter lanthierii|strain AF 1581|R01|Genome|[[http://biocluster/project_data/CRTI-09S-462RD/specimen/../../processing_test2/A_lanthierii/release/Al_AF_1581_R01][Release]]|
|Ditylenchus destructor|Jiangsu 01|R01|Genome|[[http://biocluster/project_data/CRTI-09S-462RD/specimen/../../processing_test2/D_destructor/release/Dd_Jiangsu_01_R01][Release]]|
|Ditylenchus dipsaci|Ontario 01|R01|Genome|[[http://biocluster/project_data/CRTI-09S-462RD/specimen/../../processing_test2/D_dipsaci/release/Ddi_Ontario_01_R01][Release]]|
|Globodera rostochiensis|Isolate Mar149,  pathotype Ro1|R01|Genome|[[http://biocluster/project_data/CRTI-09S-462RD/specimen/../../processing_test2/G_rostochiensis/release/Gr_Isolate_Mar149_pathotype_Ro1_R01][Release]]|
|Penicillium verrucosum|strain KAS 4260|R02|Genome|[[http://biocluster/project_data/CRTI-09S-462RD/specimen/../../processing_test2/P_verrucosum/release/Pv_KAS_4260_R02][Release]]|
|Ralstonia solanacearum|NCPPB 909 race 3 biovar 2|R02|Genome|[[http://biocluster/project_data/CRTI-09S-462RD/specimen/../../processing_test2/R_solanacearum/release/Rs_NCPPB_909_race_3_biovar_2_R02][Release]]|
|Streptomyces scabies|CG-1|R02|Genome|[[http://biocluster/project_data/CRTI-09S-462RD/specimen/../../processing_test2/S_scabies/release/Ss_CG-1_R02][Release]]|
|Synchytrium endobioticum|2000 outbreak, pathotype 6|R01|Genome|[[http://biocluster/project_data/CRTI-09S-462RD/specimen/../../processing_test2/S_endobioticum/release/Se_2000_outbreak_pathotype_6_R01][Release]]|
|Synchytrium endobioticum|2012 PEI outbreak, unknown pathotype|R01|Genome|[[http://biocluster/project_data/CRTI-09S-462RD/specimen/../../processing_test2/S_endobioticum/release/Se_2012_PEI_outbreak_unknown_pathotype_R01][Release]]|
|Synchytrium endobioticum|mixed strains from Newfoundland|R01|Genome|[[http://biocluster/project_data/CRTI-09S-462RD/specimen/../../processing_test2/S_endobioticum/release/Se_mixed_strains_from_Newfoundland_R01][Release]]|
|Tilletia caries|DAOM 238032|R01|Genome|[[http://biocluster/project_data/CRTI-09S-462RD/specimen/../../processing_test2/T_caries/release/Tca_DAOM_238032_R01][Release]]|
|Tilletia controversa|DAOM 236426|R01|Genome|[[http://biocluster/project_data/CRTI-09S-462RD/specimen/../../processing_test2/T_controversa/release/Tc_DAOM_236426_R01][Release]]|
|Tilletia indica|DAOM 236416|R01|Genome|[[http://biocluster/project_data/CRTI-09S-462RD/specimen/../../processing_test2/T_indica/release/Ti_DAOM_236416_R01][Release]]|
|Tilletia walkeri|DAOM 236422|R01|Genome|[[http://biocluster/project_data/CRTI-09S-462RD/specimen/../../processing_test2/T_walkeri/release/Tw_DAOM_236422_R01][Release]]|
