|Kingdom|Species|Strain|Release|Type|PE|MP-3kb|MP-8kb|K-mer|Link|Total Length|Estimated Genome Length|Number of Contigs|Min Contig|Median Contig|Max Contig|N50|Reads Used|
|Animalia (Nematode)|Ditylenchus destructor|Jiangsu 01|R02|Genome|yes|no|no|45|[[http://biocluster/project_data/CRTI-09S-462RD/specimen/D_destructor/release/Dd_Jiangsu_01_R02][Release]]|500,486,258|100,000,000|399,344|89|102|2,747,279|279,644|395,561,587/595,985,964|
|Animalia (Nematode)|Ditylenchus dipsaci|Ontario 01|R02|Genome|yes|no|no|45|[[http://biocluster/project_data/CRTI-09S-462RD/specimen/D_dipsaci/release/Ddi_Ontario_01_R02][Release]]|303,769,748|100,000,000|205,696|89|93|4,012,159|668,171|426,220,283/637,684,344|
|Animalia (Nematode)|Globodera rostochiensis|Isolate Mar149,  pathotype Ro1|R02|Genome|yes|no|no|41|[[http://biocluster/project_data/CRTI-09S-462RD/specimen/G_rostochiensis/release/Gr_Isolate_Mar149_pathotype_Ro1_R02][Release]]|115,965,577|100,000,000|83,071|81|99|1,085,435|102,429|268,321,514/454,894,736|
|Animalia (Nematode)|Globodera rostochiensis|QC strain, pathotype Ro1|R02|Genome|yes|no|no|37|[[http://biocluster/project_data/CRTI-09S-462RD/specimen/G_rostochiensis/release/Gr_QC_pathotype_Ro1_R02][Release]]|269,912,506|100,000,000|574,050|73|133|382,789|12,843|127,712,680/539,226,192|
|Fungi|Penicillium verrucosum|strain KAS 4260|R03|Genome|yes|no|no|45|[[http://biocluster/project_data/CRTI-09S-462RD/specimen/P_verrucosum/release/Pv_KAS_4260_R03][Release]]|31,121,467|32,190,000|14,105|89|198|83,825|15,622|717,002,177/840,204,878|
|Fungi|Synchytrium endobioticum|2000 outbreak, pathotype 6|R02|Genome|yes|no|no|27|[[http://biocluster/project_data/CRTI-09S-462RD/specimen/S_endobioticum/release/Se_2000_outbreak_pathotype_6_R02][Release]]|457,802,125|25,000,000|2,794,111|53|92|254,803|256|502,069,762/839,197,026|
|Fungi|Synchytrium endobioticum|2012 PEI outbreak, unknown pathotype|R02|Genome|yes|no|no|37|[[http://biocluster/project_data/CRTI-09S-462RD/specimen/S_endobioticum/release/Se_2012_PEI_outbreak_unknown_pathotype_R02][Release]]|500,586,058|25,000,000|221,220|73|155|359,422|16,126|473,495,738/813,107,610|
|Fungi|Tilletia caries|DAOM 238032|R03|Genome|yes|no|no|45|[[http://biocluster/project_data/CRTI-09S-462RD/specimen/T_caries/release/Tca_DAOM_238032_R03][Release]]|35,261,422|20,000,000|16,301|89|142|2,812,152|855,893|362,018,494/688,480,430|
|Fungi|Tilletia controversa|DAOM 236426|R02|Genome|yes|no|no|43|[[http://biocluster/project_data/CRTI-09S-462RD/specimen/T_controversa/release/Tc_DAOM_236426_R02][Release]]|33,264,752|20,000,000|18,761|85|142|2,218,965|1,226,554|392,318,737/576,418,916|
|Fungi|Tilletia indica|DAOM 236416|R02|Genome|yes|no|no|43|[[http://biocluster/project_data/CRTI-09S-462RD/specimen/T_indica/release/Ti_DAOM_236416_R02][Release]]|30,083,820|20,000,000|33,462|85|163|79,534|8,531|500,828,799/726,730,660|
|Fungi|Tilletia walkeri|DAOM 236422|R02|Genome|yes|no|no|41|[[http://biocluster/project_data/CRTI-09S-462RD/specimen/T_walkeri/release/Tw_DAOM_236422_R02][Release]]|25,487,820|20,000,000|12,616|81|238|62,256|11,980|460,999,716/594,182,206|
