Species	Strain	Sequencing type	Trim/raw	Release version	Est Genome Size	Kmer	N50	Max Contig	Total Length	Reads Used
Arcobacter_cibarius	LMG_21996	PE	trim	R01	2300000	89	140289	481290	2131777	28214804/30303610
Arcobacter_lanthierii	AF_1430	PE	trim	R01	1700000	93	508545	637024	2272217	12586481/13318554
Arcobacter_septicus	AF_1028	PE	raw	R01	2300000	97	303724	655730	2262802	13120542/13899982
Arcobacter_septicus	AF_1078	PE	trim	R01	2300000	91	297302	422786	2382035	13124490/13751454
Basidioascus_undulatus	unknown	PE	raw	R01	20000000	51	8712	56791	33095175	10230213/12168580
Globodera_pallida	A2_Cyprus_pathotype_Pa23	PE	raw	R01	100000000	61	3078	145385	124069616	37951543/86103428
Globodera_pallida	B1_INRA_LeRheu_France_pathotype_Pa23	PE	raw	R01	100000000	75	7884	136745	131846573	100971940/145228316
Globodera_rostochiensis	Nfld_isolate	PE	raw	R01	100000000	51	7369	76171	80090592	49883980/66682944
Globodera_rostochiensis	QC_pathotype_Ro1	PE	raw	R01	100000000	75	6899	117852	87234821	43221443/539226192
Globodera_rostochiensis	Ro19_pathotype_Ro1	PE	raw	R01	100000000	81	9816	108954	77909047	99287656/157631698
Globodera_rostochiensis	SCRIR03_pathotype_Ro3	PE	raw	R01	100000000	73	10565	1510267	140879635	72369807/141886676
Globodera_rostochiensis	SCRIR04_pathotype_Ro4	PE	raw	R01	100000000	51	6610	387006	141330752	36859383/66037510
Globodera_rostochiensis	SCRIR05_pathotype_Ro5	PE	raw	R01	100000000	61	8761	1810937	130999065	44592224/81408544
Pantoea_ananatis	LMG_2665	PE	trim	R01	4700000	85	471138	1158119	4951989	16364673/18809898
Pantoea_stewartii	DOAB_021	PE	trim	R01	5000000	89	47822	149435	5027412	10327770/11768700
Pantoea_stewartii	DOAB_230	PE	raw	R01	5000000	83	137103	336151	4502976	5965324/7567952
Pantoea_stewartii	subsp_Nov_S301	PE	raw	R01	5000000	71	349695	620669	4450413	8824468/11384236
Pectobacterium_carotovorum	subsp_brasiliensis_isolate_1001	PE	raw	R01	5000000	95	1163235	1523994	4764478	18896332/20993100
Pectobacterium_carotovorum	subsp_brasiliensis_isolate_1009	PE	trim	R01	5000000	85	369120	773691	4756221	12923776/14617664
Pectobacterium_carotovorum	subsp_brasiliensis_isolate_1033	PE	raw	R01	5000000	97	137123	405678	4701524	36264471/40195334
Pectobacterium_wasabiae	Ecw1002	PE	raw	R01	5000000	91	1116388	1430342	4959116	7795755/8682640
Penicillium_nordicum	DAOM_185683	PE	raw	R01	32190000	51	97199	533250	31414519	21461651/21908982
Penicillium_thymicola	DAOM_180753	PE	raw	R01	32190000	57	52714	307876	35530149	25804255/28221590
Penicillium_verrucosum	DAOM_211566	PE	raw	R01	32190000	59	72043	329226	32042682	27107244/29842800
Penicillium_verrucosum	DAOM_213195	PE	raw	R01	32190000	43	115249	566737	31950810	18450561/18913960
Penicillium_verrucosum	DAOM_214801	PE	raw	R01	32190000	69	187544	750770	32185980	35591248/37344378
Penicillium_verrucosum	KAS_4251	PE	raw	R01	32190000	57	75708	326224	34108018	29411491/32170356
Penicillium_verrucosum	KAS_4370	PE	raw	R01	32190000	51	89451	427820	30742336	24408855/25056028
Puccinia_graminis	CF12WGA1_100pg_DNA_0PEG	PE	raw	R01	80000000	37	3887	69723	101772574	40388399/47829408
Puccinia_graminis	CF12WGA2_10ng_DNA_0PEG	PE	trim	R01	80000000	33	3383	64040	87445887	35397610/41706674
Puccinia_graminis	CF12WGA3_100pg_DNA_1PEG	PE	raw	R01	80000000	45	6277	60061	95260088	49510628/62422584
Puccinia_graminis	race_QTHJT_RSA2051	PE	raw	R01	80000000	33	8027	83680	71184333	34656233/39855618
Puccinia_graminis	race_RHTSK_RSA2052	PE	trim	R01	80000000	35	7690	87989	96251398	37902257/43869176
Puccinia_graminis	race_TMRTK_RSA2053	PE	raw	R01	80000000	53	9655	86171	111808720	64132388/73645790
Puccinia_triticina	race_MBDS_RSA2119	PE	raw	R01	110000000	77	9251	86884	101802672	93361877/113874608
Puccinia_triticina	race_MFDS_RSA2117	PE	raw	R01	110000000	81	9915	109427	103742880	87829907/108292916
Ralstonia_solanacearum	NCPPB_909_race_3_biovar_2	PE	raw	R01	5800000	89	47635	155109	5228177	67192844/76801326
Ralstonia_solanacearum	race_3_biovar_2_906_IIB-1_with_low_cold-Cl	PE	trim	R01	5800000	55	7306	46553	4904118	12820467/13405138
Streptomyces_scabies	CG-1	PE	raw	R01	10100000	65	2580	23988	7075051	16261126/18409050
Tilletia_caries	DAOM_238032	PE	raw	R01	20000000	85	18945	159069	31872817	49853844/688480430
Arcobacter_lanthierii	AF_1440	PE	trim	R01	1700000	91	1329211	1329211	2232457	9416617/9760754
