| Kingdom | Species | Strain | Release | Type | PE | MP-3kb | MP-8kb | K-mer | Link | Total Length | Estimated Genome Length | Number of Contigs | Min Contig | Median Contig | Max Contig | N50 | Reads Used |
| Animalia (Nematode) | Ditylenchus destructor | Jiangsu 01 | R01 | Genome | yes | no | no | 71 | [[http://biocluster/project_data/CRTI-09S-462RD/specimen/D_destructor/release/Dd_Jiangsu_01_R01][Release]] | 193,325,886 | 100,000,000 | 190,775 | 141 | 392 | 77,593 | 3,304 | 68,763,888/105,663,022 |
| Animalia (Nematode) | Ditylenchus dipsaci | Ontario 01 | R01 | Genome | yes | no | no | 79 | [[http://biocluster/project_data/CRTI-09S-462RD/specimen/D_dipsaci/release/Ddi_Ontario_01_R01][Release]] | 225,769,807 | 100,000,000 | 98,600 | 157 | 515 | 87,263 | 8,562 | 112,830,868/153,474,296 |
| Animalia (Nematode) | Globodera rostochiensis | Isolate Mar149, pathotype Ro1 | R01 | Genome | yes | no | no | 69 | [[http://biocluster/project_data/CRTI-09S-462RD/specimen/G_rostochiensis/release/Gr_Isolate_Mar149_pathotype_Ro1_R01][Release]] | 77,991,924 | 100,000,000 | 33,555 | 137 | 415 | 81,977 | 8,724 | 55,323,399/89,222,926 |
| Bacteria | Arcobacter lanthierii | strain AF 1581 | R01 | Genome | yes | no | no | 95 | [[http://biocluster/project_data/CRTI-09S-462RD/specimen/A_lanthierii/release/Al_AF_1581_R01][Release]] | 2,194,957 | 1,700,000 | 24 | 194 | 16,914 | 860,543 | 415,422 | 19,910,144/20,783,716 |
| Bacteria | Ralstonia solanacearum | NCPPB 909 race 3 biovar 2 | R01 | Genome | yes | no | no | 91 | [[http://biocluster/project_data/CRTI-09S-462RD/specimen/R_solanacearum/release/Rs_NCPPB_909_race_3_biovar_2_R01][Release]] | 5,235,834 | 5,800,000 | 220 | 184 | 11,505.5 | 138,977 | 58,330 | 43,269,792/49,492,302 |
| Bacteria | Streptomyces scabies | CG-1 | R02 | Genome | yes | no | no | 87 | [[http://biocluster/project_data/CRTI-09S-462RD/specimen/S_scabies/release/Ss_CG-1_R02][Release]] | 10,628,868 | 10,100,000 | 525 | 173 | 9,092 | 204,770 | 47,412 | 29,620,100/36,216,966 |
| Fungi | Penicillium verrucosum | strain KAS 4260 | R02 | Genome | yes | no | no | 79 | [[http://biocluster/project_data/CRTI-09S-462RD/specimen/P_verrucosum/release/Pv_KAS_4260_R02][Release]] | 31,810,464 | 32,190,000 | 963 | 157 | 11,842 | 325,261 | 87,882 | 52,302,711/63,505,978 |
| Fungi | Synchytrium endobioticum | 2000 outbreak, pathotype 6 | R01 | Genome | yes | no | no | 95 | [[http://biocluster/project_data/CRTI-09S-462RD/specimen/S_endobioticum/release/Se_2000_outbreak_pathotype_6_R01][Release]] | 324,772 | 25,000,000 | 254 | 189 | 390 | 71,617 | 7,879 | 2,583,653/49,804,666 |
| Fungi | Synchytrium endobioticum | 2012 PEI outbreak, unknown pathotype | R01 | Genome | yes | no | no | 87 | [[http://biocluster/project_data/CRTI-09S-462RD/specimen/S_endobioticum/release/Se_2012_PEI_outbreak_unknown_pathotype_R01][Release]] | 15,011,184 | 25,000,000 | 2,968 | 173 | 257 | 833,204 | 127,070 | 55,356,111/73,374,854 |
| Fungi | Synchytrium endobioticum | mixed strains from Newfoundland | R01 | Genome | yes | no | no | 29 | [[http://biocluster/project_data/CRTI-09S-462RD/specimen/S_endobioticum/release/Se_mixed_strains_from_Newfoundland_R01][Release]] | 131,881 | 25,000,000 | 1,411 | 57 | 93 | 1,456 | 67 | 13,736,835/208,586,080 |
| Fungi | Tilletia caries | DAOM 238032 | R01 | Genome | yes | no | no | 73 | [[http://biocluster/project_data/CRTI-09S-462RD/specimen/T_caries/release/Tca_DAOM_238032_R01][Release]] | 31,591,973 | 20,000,000 | 8,613 | 145 | 430 | 101,122 | 16,144 | 27,037,431/30,406,426 |
| Fungi | Tilletia controversa | DAOM 236426 | R01 | Genome | yes | no | no | 65 | [[http://biocluster/project_data/CRTI-09S-462RD/specimen/T_controversa/release/Tc_DAOM_236426_R01][Release]] | 30,158,085 | 20,000,000 | 9,085 | 129 | 407 | 115,074 | 14,232 | 16980504/19405294 |
| Fungi | Tilletia indica | DAOM 236416 | R01 | Genome | yes | no | no | 81 | [[http://biocluster/project_data/CRTI-09S-462RD/specimen/T_indica/release/Ti_DAOM_236416_R01][Release]] | 32,112,785 | 20,000,000 | 5,774 | 161 | 391.5 | 185,563 | 39,285 | 60,017,903/74,002,222 |
| Fungi | Tilletia walkeri | DAOM 236422 | R01 | Genome | yes | no | no | 71 | [[http://biocluster/project_data/CRTI-09S-462RD/specimen/T_walkeri/release/Tw_DAOM_236422_R01][Release]] | 24,793,290 | 20,000,000 | 1,746 | 141 | 835.5 | 398,326 | 69,781 | 23,925,972/26,684,998 |
